,0-date,1-temperature,2-day-length
1,2000/01/01,1.5,07
2,2000/01/02,3.7,07
3,2000/01/03,6.9,07
4,2000/01/04,5.5,07
5,2000/01/05,5.9,07
6,2000/01/06,4.8,07
7,2000/01/07,5.9,07
8,2000/01/08,5.5,07
9,2000/01/09,5.0,07
10,2000/01/10,3.1,07
11,2000/01/11,2.7,07
12,2000/01/12,1.2,07
13,2000/01/13,0.5,07
14,2000/01/14,-1.7,07
15,2000/01/15,2.6,07
16,2000/01/16,2.8,07
17,2000/01/17,5.5,07
18,2000/01/18,5.5,07
19,2000/01/19,2.5,07
20,2000/01/20,4.2,07
21,2000/01/21,4.4,07
22,2000/01/22,-2.0,07
23,2000/01/23,-0.5,08
24,2000/01/24,-0.3,08
25,2000/01/25,0.5,08
26,2000/01/26,2.5,08
27,2000/01/27,4.2,08
28,2000/01/28,4.0,08
29,2000/01/29,6.6,08
30,2000/01/30,6.8,08
31,2000/01/31,7.6,08
32,2000/02/01,7.7,08
33,2000/02/02,7.8,08
34,2000/02/03,5.7,08
35,2000/02/04,7.4,08
36,2000/02/05,8.0,08
37,2000/02/06,9.3,08
38,2000/02/07,9.2,08
39,2000/02/08,7.6,09
40,2000/02/09,7.0,09
41,2000/02/10,7.8,09
42,2000/02/11,6.5,09
43,2000/02/12,7.5,09
44,2000/02/13,4.0,09
45,2000/02/14,4.0,09
46,2000/02/15,4.6,09
47,2000/02/16,4.7,09
48,2000/02/17,2.8,09
49,2000/02/18,3.0,09
50,2000/02/19,4.6,09
51,2000/02/20,3.0,09
52,2000/02/21,3.0,10
53,2000/02/22,3.0,10
54,2000/02/23,3.5,10
55,2000/02/24,4.8,10
56,2000/02/25,4.3,10
57,2000/02/26,4.6,10
58,2000/02/27,9.9,10
59,2000/02/28,15.6,10
60,2000/03/01,8.1,10
61,2000/03/02,9.2,10
62,2000/03/03,6.7,10
63,2000/03/04,5.4,10
64,2000/03/05,3.5,10
65,2000/03/06,7.0,11
66,2000/03/07,9.3,11
67,2000/03/08,10.4,11
68,2000/03/09,8.4,11
69,2000/03/10,4.5,11
70,2000/03/11,4.0,11
71,2000/03/12,5.3,11
72,2000/03/13,9.1,11
73,2000/03/14,9.0,11
74,2000/03/15,5.0,11
75,2000/03/16,5.0,11
76,2000/03/17,4.3,11
77,2000/03/18,4.7,11
78,2000/03/19,5.0,12
79,2000/03/20,6.1,12
80,2000/03/21,7.0,12
81,2000/03/22,7.8,12
82,2000/03/23,7.0,12
83,2000/03/24,5.8,12
84,2000/03/25,4.6,12
85,2000/03/26,10.7,12
86,2000/03/27,8.9,12
87,2000/03/28,7.3,12
88,2000/03/29,6.0,12
89,2000/03/30,10.6,12
90,2000/03/31,8.5,12
91,2000/04/01,8.4,13
92,2000/04/02,11.0,13
93,2000/04/03,16.4,13
94,2000/04/04,12.8,13
95,2000/04/05,9.8,13
96,2000/04/06,6.9,13
97,2000/04/07,6.4,13
98,2000/04/08,6.4,13
99,2000/04/09,4.8,13
100,2000/04/10,6.0,13
101,2000/04/11,8.5,13
102,2000/04/12,13.4,13
103,2000/04/13,10.4,13
104,2000/04/14,11.4,14
105,2000/04/15,15.8,14
106,2000/04/16,13.6,14
107,2000/04/17,21.9,14
108,2000/04/18,18.6,14
109,2000/04/19,13.0,14
110,2000/04/20,17.8,14
111,2000/04/21,16.9,14
112,2000/04/22,14.4,14
113,2000/04/23,28.2,14
114,2000/04/24,28.1,14
115,2000/04/25,12.4,14
116,2000/04/26,12.4,14
117,2000/04/27,24.3,14
118,2000/04/28,27.3,15
119,2000/04/29,28.9,15
120,2000/04/30,28.9,15
121,2000/05/01,19.1,15
122,2000/05/02,14.2,15
123,2000/05/03,18.1,15
124,2000/05/04,14.2,15
125,2000/05/05,14.4,15
126,2000/05/06,14.4,15
127,2000/05/07,14.2,15
128,2000/05/08,17.1,15
129,2000/05/09,14.9,15
130,2000/05/10,18.3,15
131,2000/05/11,19.4,15
132,2000/05/12,15.1,16
133,2000/05/13,15.0,16
134,2000/05/14,18.1,16
135,2000/05/15,21.0,16
136,2000/05/16,22.5,16
137,2000/05/17,31.5,16
138,2000/05/18,16.8,16
139,2000/05/19,15.3,16
140,2000/05/20,15.2,16
141,2000/05/21,16.6,16
142,2000/05/22,16.4,16
143,2000/05/23,16.9,16
144,2000/05/24,20.8,16
145,2000/05/25,23.1,16
146,2000/05/26,21.4,16
147,2000/05/27,26.3,16
148,2000/05/28,19.8,16
149,2000/05/29,18.2,16
150,2000/05/30,14.9,17
151,2000/05/31,14.9,17
152,2000/06/01,21.6,17
153,2000/06/02,24.6,17
154,2000/06/03,17.4,17
155,2000/06/04,17.2,17
156,2000/06/05,16.3,17
157,2000/06/06,18.9,17
158,2000/06/07,14.5,17
159,2000/06/08,15.9,17
160,2000/06/09,17.9,17
161,2000/06/10,29.4,17
162,2000/06/11,26.8,17
163,2000/06/12,19.9,17
164,2000/06/13,28.0,17
165,2000/06/14,20.5,17
166,2000/06/15,16.3,17
167,2000/06/16,15.4,17
168,2000/06/17,16.9,17
169,2000/06/18,17.9,17
170,2000/06/19,23.4,17
171,2000/06/20,33.4,17
172,2000/06/21,31.0,17
173,2000/06/22,27.3,17
174,2000/06/23,21.8,17
175,2000/06/24,21.4,17
176,2000/06/25,18.1,17
177,2000/06/26,14.4,17
178,2000/06/27,14.7,17
179,2000/06/28,15.2,17
180,2000/06/29,15.8,17
181,2000/06/30,15.3,17
182,2000/07/01,14.7,17
183,2000/07/02,17.1,17
184,2000/07/03,19.0,17
185,2000/07/04,19.9,17
186,2000/07/05,19.2,17
187,2000/07/06,18.1,17
188,2000/07/07,16.1,17
189,2000/07/08,16.3,17
190,2000/07/09,17.0,17
191,2000/07/10,20.8,17
192,2000/07/11,22.9,17
193,2000/07/12,17.8,17
194,2000/07/13,17.3,17
195,2000/07/14,19.1,17
196,2000/07/15,18.5,17
197,2000/07/16,19.2,16
198,2000/07/17,18.9,16
199,2000/07/18,17.3,16
200,2000/07/19,16.3,16
201,2000/07/20,14.9,16
202,2000/07/21,16.6,16
203,2000/07/22,18.1,16
204,2000/07/23,17.2,16
205,2000/07/24,18.9,16
206,2000/07/25,18.4,16
207,2000/07/26,18.0,16
208,2000/07/27,20.2,16
209,2000/07/28,20.4,16
210,2000/07/29,19.0,16
211,2000/07/30,19.9,16
212,2000/07/31,17.9,16
213,2000/08/01,20.1,16
214,2000/08/02,21.9,16
215,2000/08/03,20.7,15
216,2000/08/04,20.4,15
217,2000/08/05,20.2,15
218,2000/08/06,19.5,15
219,2000/08/07,18.4,15
220,2000/08/08,17.1,15
221,2000/08/09,18.0,15
222,2000/08/10,21.1,15
223,2000/08/11,18.7,15
224,2000/08/12,19.7,15
225,2000/08/13,19.8,15
226,2000/08/14,21.5,15
227,2000/08/15,23.7,15
228,2000/08/16,21.3,15
